org_id,pwsid,supplier_name,year,avg_shortage_level,data_type
2083,CA3310031,city of riverside,2022,1.4,Actual
2087,CA3610057,riverside highland water company,2022,2.0,Actual
2103,CA4910014,city of rohnert park,2022,1.7,Actual
2107,CA1510018,rosamond community service district,2022,0.0,Actual
2111,CA3110008,city of roseville,2022,2.0,Actual
2115,CA1910194,rowland water district,2022,1.4,Actual
2118,CA3310044,rubidoux community service district,2022,1.6,Actual
2119,CA1910140,rubio canyon land and water association,2022,3.0,Actual
2130,CA3410020,city of sacramento,2022,2.0,Actual
2132,"CA3400101,CA3400106,CA3400156,CA3410002,CA3410029,CA3410704",sacramento county water agency,2022,1.8,Actual
2140,CA3410001,sacramento suburban water district,2022,1.7,Actual
2150,CA3610039,city of san bernardino,2022,3.0,Actual
2154,CA3610121,san bernardino county service area 64 spring valley lake,2022,0.0,Actual
2157,CA4110023,city of san bruno,2022,1.7,Actual
2158,CA5610017,city of (ventura) san buenaventura,2022,1.4,Actual
2159,CA3010036,city of san clemente,2022,1.4,Actual
2160,CA3710020,city of san diego,2022,1.0,Actual
2162,CA3710021,san dieguito water district,2022,1.7,Actual
2163,CA1910143,city of san fernando,2022,3.0,Actual
2164,"CA0110012,CA0110018,CA3810011",san francisco public utilities commission,2022,1.8,Actual
2165,CA1910144,san gabriel county water district,2022,1.0,Actual
2166,CA3610041,san gabriel valley water company fontana division,2022,2.0,Actual
2167,"CA1910039,CA1910189",san gabriel valley water company,2022,1.6,Actual
2169,CA3310032,city of san jacinto,2022,2.0,Actual
2174,"CA4310019,CA4310020",city of san jose,2022,2.0,Actual
2175,"CA4310011,CA4310018",san jose water company,2022,2.7,Actual
2177,CA3010030,city of san juan capistrano,2022,2.0,Actual
2179,CA3410021,san juan water district,2022,1.4,Actual
2180,"CA4410002,CA4410014",san lorenzo valley water district,2022,2.0,Actual
2182,CA4010009,city of san luis obispo,2022,1.2,Actual
2205,CA1010029,city of sanger,2022,3.0,Actual
2207,CA3010038,city of santa ana,2022,1.4,Actual
2209,CA4210010,city of santa barbara,2022,1.7,Actual
2210,CA4310012,city of santa clara,2022,2.0,Actual
2213,CA4410010,city of santa cruz,2022,0.0,Actual
2214,CA3710023,santa fe irrigation district,2022,1.6,Actual
2215,CA1910245,city of santa fe springs,2022,0.8888888888888888,Actual
2217,CA3010101,santa margarita water district,2022,2.0,Actual
2218,CA4210011,city of santa maria,2022,1.6,Actual
2220,CA1910146,city of santa monica,2022,2.0,Actual
2222,CA5610011,city of santa paula,2022,0.0,Actual
2224,CA4910009,city of santa rosa,2022,2.0,Actual
2237,CA4410013,scotts valley water district,2022,1.6,Actual
2241,CA3010041,city of seal beach,2022,2.0,Actual
2260,CA1510019,city of shafter,2022,1.9,Actual
2273,CA4510006,city of shasta lake,2022,2.0,Actual
2290,CA1910148,city of sierra madre,2022,1.2,Actual
2298,CA1910149,city of signal hill,2022,1.6666666666666667,Actual
2323,CA2710011,city of soledad,2022,1.2,Actual
2326,CA4910012,city of sonoma,2022,0.0,Actual
2330,CA4410017,soquel creek water district,2022,3.0,Actual
2334,CA3010042,south coast water district,2022,1.8,Actual
2337,"CA0410006,CA0410012",south feather water and power,2022,1.4,Actual
2341,CA1910152,city of south gate,2022,1.4,Actual
2345,CA1910154,city of south pasadena,2022,1.5,Actual
2348,CA0910002,south tahoe public utility district,2022,0.4,Actual
